"subject","trial","native_language","word","class","frequency","length","correct","RT"
"A1",111,"English","gull","animal",4.418841,4,"correct",590.999989712996
"A1",113,"English","pig","animal",6.660575,3,"correct",494.000238509224
"A1",119,"English","camel","animal",6.109248,5,"correct",576.0001954392
"A1",120,"English","shark","animal",5.880533,5,"correct",449.000050403731
"A1",123,"English","vulture","animal",4.248495,7,"correct",676.999815238415
"A1",125,"English","snake","animal",6.120297,5,"correct",554.000173542032
"A1",126,"English","donkey","animal",5.541264,6,"correct",440.000120158602
"A1",127,"English","broccoli","plant",2.833213,8,"correct",475.000093083554
"A1",129,"English","apricot","plant",3.828641,7,"correct",791.000025495786
"A1",133,"English","leek","plant",3.332205,4,"correct",623.000299795489
"A1",134,"English","clove","plant",3.663562,5,"correct",563.000209357393
"A1",135,"English","banana","plant",5.023881,6,"correct",494.000238509224
"A1",136,"English","lion","animal",6.098074,4,"correct",450.999846884318
"A1",139,"English","elephant","animal",6.063785,8,"correct",558.999735506362
"A1",141,"English","hedgehog","animal",3.637586,8,"correct",995.999743445773
"A1",144,"English","eagle","animal",5.117994,5,"correct",547.99984275251
"A1",146,"English","apple","plant",6.304449,5,"correct",453.999910089237
"A1",148,"English","kiwi","plant",3.044522,4,"correct",646.999809457945
"A1",151,"English","wasp","animal",4.682131,4,"correct",809.999799390173
"A1",152,"English","cat","animal",7.086738,3,"correct",467.999861510562
"A1",153,"English","paprika","plant",2.484907,7,"correct",734.999633078657
"A1",157,"English","ant","animal",5.347108,3,"correct",875.999920339725
"A1",162,"English","bunny","animal",3.332205,5,"correct",581.999739420361
"A1",163,"English","beaver","animal",3.951244,6,"correct",530.999988720531
"A1",164,"English","horse","animal",7.77191,5,"correct",413.000168107128
"A1",167,"English","mushroom","plant",5.537334,8,"correct",464.000207767064
"A1",168,"English","woodpecker","animal",2.890372,10,"correct",540.999849144075
"A1",169,"English","moose","animal",2.70805,5,"correct",411.99985606802
"A1",170,"English","orange","plant",6.378426,6,"correct",486.999940058783
"A1",173,"English","avocado","plant",3.433987,7,"correct",489.999808358748
"A1",174,"English","chicken","animal",6.59987,7,"correct",364.999870942413
"A1",177,"English","butterfly","animal",5.214936,9,"correct",581.000141269057
"A1",179,"English","olive","plant",5.587249,5,"correct",393.00015253541
"A1",180,"English","swan","animal",4.962845,4,"correct",419.000033552626
"A1",182,"English","walnut","plant",4.49981,6,"correct",393.00015253541
"A1",184,"English","melon","plant",4.127134,5,"correct",535.000135410654
"A1",185,"English","monkey","animal",5.783825,6,"correct",420.000121263504
"A3",28,"Other","strawberry","plant",4.75359,10,"correct",608.000071764574
"A3",29,"Other","crocodile","animal",4.615121,9,"correct",552.999999158149
"A3",32,"Other","cherry","plant",4.997212,6,"correct",592.999763394396
"A3",34,"Other","bunny","animal",3.332205,5,"correct",574.999976541524
"A3",35,"Other","paprika","plant",2.484907,7,"correct",826.000187071693
"A3",36,"Other","lemon","plant",5.631212,5,"correct",524.0001654158
"A3",40,"Other","clove","plant",3.663562,5,"correct",547.000108075187
"A3",41,"Other","ant","animal",5.347108,3,"correct",607.000126826898
"A3",44,"Other","pig","animal",6.660575,3,"correct",562.000084359752
"A3",46,"Other","shark","animal",5.880533,5,"correct",602.999881373519
"A3",48,"Other","kiwi","plant",3.044522,4,"correct",551.999974455044
"A3",50,"Other","owl","animal",4.859812,3,"correct",653.999770147033
"A3",51,"Other","avocado","plant",3.433987,7,"correct",560.000121111664
"A3",52,"Other","fox","animal",5.652489,3,"correct",510.00013988365
"A3",55,"Other","goat","animal",6.228511,4,"correct",581.999739420361
"A3",56,"Other","walnut","plant",4.49981,6,"correct",560.000121111664
"A3",57,"Other","tortoise","animal",4.624973,8,NA,NA
"A3",58,"Other","goose","animal",5.267858,5,"correct",588.000030635608
"A3",61,"Other","eggplant","plant",1.791759,8,"correct",592.000216148708
"A3",64,"Other","moose","animal",2.70805,5,"correct",581.999739420361
"A3",65,"Other","gull","animal",4.418841,4,"correct",671.999771168483
"A3",67,"Other","eagle","animal",5.117994,5,"correct",520.000097980763
"A3",69,"Other","stork","animal",3.044522,5,"correct",524.999862139415
"A3",70,"Other","blueberry","plant",2.484907,9,"correct",602.999881373519
"A3",71,"Other","squid","animal",3.970292,5,"correct",534.000085995263
"A3",72,"Other","asparagus","plant",3.663562,9,"correct",630.000113787096
"A3",73,"Other","carrot","plant",4.976734,6,"correct",554.000173542032
"A3",74,"Other","lettuce","plant",4.812184,7,"correct",576.0001954392
"A3",75,"Other","snake","animal",6.120297,5,"correct",512.000191979808
"A3",79,"Other","hedgehog","animal",3.637586,8,"correct",902.000432903617
"A3",80,"Other","butterfly","animal",5.214936,9,"correct",588.000030635608
"A3",82,"Other","beaver","animal",3.951244,6,"correct",513.000079427401
"A3",83,"Other","banana","plant",5.023881,6,"correct",489.999808358748
"A3",85,"Other","cat","animal",7.086738,3,"correct",631.000086736501
"A3",89,"Other","elephant","animal",6.063785,8,"correct",578.000075907371
"A3",90,"Other","peanut","plant",4.59512,6,"correct",625.000218914787
"A3",93,"Other","cucumber","plant",4.454347,8,"correct",546.000013243282
"A3",96,"Other","chicken","animal",6.59987,7,"correct",524.999862139415
"A3",98,"Other","mustard","plant",4.442651,7,"correct",519.000060636907
"A3",100,"Other","apple","plant",6.304449,5,"correct",563.000209357393
"A3",105,"Other","monkey","animal",5.783825,6,"correct",479.00019284021
"A3",106,"Other","melon","plant",4.127134,5,"correct",539.0002312801
"A3",108,"Other","leek","plant",3.332205,4,"correct",520.999978246496
"A3",109,"Other","camel","animal",6.109248,5,"correct",520.000097980763
"A3",111,"Other","woodpecker","animal",2.890372,10,"correct",656.999987855611
"A3",115,"Other","reindeer","animal",4.043051,8,"correct",634.000028886799
"A3",116,"Other","donkey","animal",5.541264,6,"correct",604.999722891404
"A3",120,"Other","orange","plant",6.378426,6,"correct",513.999863556063
"A3",122,"Other","dolphin","animal",4.007333,7,"correct",625.000218914787
"A3",124,"Other","blackberry","plant",4.060443,10,"correct",587.000105760917
"A3",126,"Other","mole","animal",4.60517,4,"correct",649.000183859072
"A3",132,"Other","bat","animal",5.918894,3,"correct",634.000028886799
"A3",133,"Other","mouse","animal",5.805135,5,NA,NA
"A3",134,"Other","whale","animal",5.298317,5,"correct",588.999891829225
"A3",136,"Other","broccoli","plant",2.833213,8,"correct",628.999838535443
"A3",138,"Other","frog","animal",5.129899,4,"correct",578.999723485302
"A3",139,"Other","tomato","plant",5.545177,6,"correct",699.999765469656
"A3",143,"Other","almond","plant",4.204693,6,"correct",1146.00011772322
"A3",148,"Other","vulture","animal",4.248495,7,"correct",638.999709652821
"A3",149,"Other","mushroom","plant",5.537334,8,NA,NA
"A3",150,"Other","lion","animal",6.098074,4,"correct",578.999723485302
"A3",154,"Other","dog","animal",7.667626,3,"correct",513.999863556063
"A3",156,"Other","pear","plant",4.727388,4,NA,NA
"A3",157,"Other","radish","plant",3.044522,6,"correct",1252.00056132175
"A3",158,"Other","olive","plant",5.587249,5,"correct",594.999758700399
"A3",160,"Other","bee","animal",5.700444,3,"correct",614.000044117656
"A3",161,"Other","magpie","animal",2.995732,6,"correct",621.999942316233
"A3",162,"Other","potato","plant",6.461468,6,"correct",497.999961641724
"A3",163,"Other","pineapple","plant",3.988984,9,"correct",596.000198429084
"A3",165,"Other","wasp","animal",4.682131,4,"correct",739.000058419281
"A3",168,"Other","beetroot","plant",3.555348,8,"correct",638.999709652821
"A3",169,"Other","squirrel","animal",4.70953,8,"correct",611.999827102481
"A3",171,"Other","sheep","animal",6.577861,5,"correct",662.000293969766
"A3",175,"Other","apricot","plant",3.828641,7,"correct",532.999773919653
"A3",176,"Other","horse","animal",7.77191,5,"correct",614.999835299014
"A3",179,"Other","spider","animal",4.844187,6,"correct",623.000299795489
"A3",180,"Other","grape","plant",5.192957,5,"correct",643.000177315235
"A3",181,"Other","gherkin","plant",2.079442,7,"correct",627.99989545798
"A3",185,"Other","swan","animal",4.962845,4,"correct",590.000273229202
"C",23,"English","vulture","animal",4.248495,7,"correct",688.000111501868
"C",26,"English","camel","animal",6.109248,5,"correct",691.000121776551
"C",27,"English","kiwi","plant",3.044522,4,"correct",516.000121011528
"C",28,"English","avocado","plant",3.433987,7,"correct",611.999827102481
"C",29,"English","gull","animal",4.418841,4,"correct",535.999913666057
"C",31,"English","banana","plant",5.023881,6,"correct",648.000196763756
"C",33,"English","whale","animal",5.298317,5,NA,NA
"C",35,"English","donkey","animal",5.541264,6,"correct",601.000039344342
"C",36,"English","shark","animal",5.880533,5,"correct",490.999937252894
"C",38,"English","chicken","animal",6.59987,7,"correct",563.000209357393
"C",39,"English","monkey","animal",5.783825,6,"correct",479.999950127073
"C",41,"English","wasp","animal",4.682131,4,"correct",479.999950127073
"C",46,"English","cat","animal",7.086738,3,"correct",483.000167285837
"C",53,"English","eggplant","plant",1.791759,8,"correct",593.999810298619
"C",54,"English","gherkin","plant",2.079442,7,"correct",664.999972963858
"C",55,"English","bat","animal",5.918894,3,"correct",479.999950127073
"C",56,"English","bee","animal",5.700444,3,NA,NA
"C",59,"English","spider","animal",4.844187,6,"correct",547.000108075187
"C",60,"English","squid","animal",3.970292,5,"correct",496.999987029976
"C",62,"English","pineapple","plant",3.988984,9,"correct",599.000240728894
"C",66,"English","swan","animal",4.962845,4,"correct",653.999770147033
"C",67,"English","strawberry","plant",4.75359,10,"correct",540.999849144075
"C",69,"English","sheep","animal",6.577861,5,"correct",540.999849144075
"C",70,"English","walnut","plant",4.49981,6,"correct",529.999996530531
"C",72,"English","tortoise","animal",4.624973,8,"correct",663.000006506774
"C",73,"English","lion","animal",6.098074,4,"correct",520.999978246496
"C",74,"English","goat","animal",6.228511,4,"correct",510.00013988365
"C",76,"English","asparagus","plant",3.663562,9,"correct",590.000273229202
"C",78,"English","apricot","plant",3.828641,7,"correct",547.99984275251
"C",80,"English","pig","animal",6.660575,3,"correct",522.999757294102
"C",81,"English","apple","plant",6.304449,5,"correct",517.999874509603
"C",82,"English","mustard","plant",4.442651,7,"correct",534.000085995263
"C",83,"English","hedgehog","animal",3.637586,8,"correct",656.999987855611
"C",86,"English","ant","animal",5.347108,3,"correct",725.000250230404
"C",88,"English","fox","animal",5.652489,3,"correct",608.999836964695
"C",89,"English","elephant","animal",6.063785,8,"correct",581.999739420361
"C",90,"English","moose","animal",2.70805,5,"correct",499.999950788907
"C",91,"English","beetroot","plant",3.555348,8,"correct",531.999739670309
"C",93,"English","carrot","plant",4.976734,6,"correct",558.999735506362
"C",100,"English","snake","animal",6.120297,5,"correct",528.999771547009
"C",102,"English","olive","plant",5.587249,5,"correct",487.999801943704
"C",109,"English","pear","plant",4.727388,4,"correct",452.999943156189
"C",112,"English","butterfly","animal",5.214936,9,"correct",536.999949248742
"C",113,"English","blueberry","plant",2.484907,9,"correct",541.999999219712
"C",114,"English","mole","animal",4.60517,4,"correct",538.000236633012
"C",115,"English","cucumber","plant",4.454347,8,"correct",535.999913666057
"C",116,"English","orange","plant",6.378426,6,"correct",511.00020940595
"C",122,"English","lemon","plant",5.631212,5,"correct",486.000182784394
"C",124,"English","horse","animal",7.77191,5,"correct",623.999770137519
"C",127,"English","squirrel","animal",4.70953,8,"correct",584.000010028315
"C",130,"English","goose","animal",5.267858,5,"correct",470.000143489093
"C",131,"English","bunny","animal",3.332205,5,NA,NA
"C",134,"English","almond","plant",4.204693,6,"correct",627.000288023225
"C",135,"English","clove","plant",3.663562,5,"correct",479.999950127073
"C",137,"English","peanut","plant",4.59512,6,"correct",562.000084359752
"C",140,"English","beaver","animal",3.951244,6,"correct",656.000138452692
"C",141,"English","mushroom","plant",5.537334,8,"correct",479.00019284021
"C",144,"English","dog","animal",7.667626,3,"correct",558.000020991229
"C",145,"English","frog","animal",5.129899,4,"correct",795.999852067885
"C",146,"English","stork","animal",3.044522,5,"correct",551.000105156754
"C",148,"English","potato","plant",6.461468,6,"correct",616.000022463352
"C",150,"English","radish","plant",3.044522,6,"correct",729.000195365715
"C",151,"English","paprika","plant",2.484907,7,"correct",604.999722891404
"C",153,"English","blackberry","plant",4.060443,10,"correct",565.999955737
"C",159,"English","lettuce","plant",4.812184,7,NA,NA
"C",161,"English","mouse","animal",5.805135,5,"correct",588.000030635608
"C",162,"English","crocodile","animal",4.615121,9,"correct",475.000093083554
"C",164,"English","reindeer","animal",4.043051,8,"correct",644.999795666759
"C",165,"English","broccoli","plant",2.833213,8,"incorrect",525.999888099976
"C",168,"English","tomato","plant",5.545177,6,"correct",592.999763394396
"C",172,"English","leek","plant",3.332205,4,"correct",661.000105858044
"C",174,"English","magpie","animal",2.995732,6,"correct",617.999717291212
"C",175,"English","owl","animal",4.859812,3,"correct",479.00019284021
"C",177,"English","cherry","plant",4.997212,6,"correct",483.000167285837
"C",178,"English","eagle","animal",5.117994,5,"correct",540.999849144075
"C",179,"English","woodpecker","animal",2.890372,10,"correct",547.000108075187
"C",181,"English","dolphin","animal",4.007333,7,"correct",581.000141269057
"C",182,"English","melon","plant",4.127134,5,NA,NA
"C",184,"English","grape","plant",5.192957,5,"correct",510.00013988365
"D",24,"Other","peanut","plant",4.59512,6,"correct",508.999991575784
"D",28,"Other","swan","animal",4.962845,4,"correct",572.000004930756
"D",29,"Other","lettuce","plant",4.812184,7,"correct",587.000105760917
"D",30,"Other","walnut","plant",4.49981,6,"correct",552.999999158149
"D",32,"Other","beetroot","plant",3.555348,8,"correct",627.000288023225
"D",33,"Other","broccoli","plant",2.833213,8,"correct",535.999913666057
"D",37,"Other","spider","animal",4.844187,6,"correct",545.000111908544
"D",41,"Other","cucumber","plant",4.454347,8,"correct",637.99981922605
"D",44,"Other","blackberry","plant",4.060443,10,"correct",573.000162322477
"D",46,"Other","snake","animal",6.120297,5,"correct",590.000273229202
"D",47,"Other","cat","animal",7.086738,3,"correct",529.999996530531
"D",48,"Other","fox","animal",5.652489,3,"correct",538.000236633012
"D",49,"Other","gherkin","plant",2.079442,7,"correct",643.000177315235
"D",51,"Other","tomato","plant",5.545177,6,"correct",692.000030712573
"D",54,"Other","squirrel","animal",4.70953,8,"correct",646.999809457945
"D",56,"Other","woodpecker","animal",2.890372,10,"correct",563.000209357393
"D",59,"Other","squid","animal",3.970292,5,"correct",737.000079456463
"D",60,"Other","butterfly","animal",5.214936,9,"correct",625.000218914787
"D",61,"Other","orange","plant",6.378426,6,"correct",456.000086861448
"D",62,"Other","beaver","animal",3.951244,6,"correct",568.999752982172
"D",63,"Other","dog","animal",7.667626,3,"correct",456.000086861448
"D",64,"Other","banana","plant",5.023881,6,"correct",438.999818660037
"D",65,"Other","blueberry","plant",2.484907,9,"correct",480.999870079147
"D",66,"Other","donkey","animal",5.541264,6,"correct",506.00016734057
"D",67,"Other","pig","animal",6.660575,3,"correct",400.999828650102
"D",70,"Other","paprika","plant",2.484907,7,"correct",555.9998363967
"D",72,"Other","carrot","plant",4.976734,6,"correct",726.999652833214
"D",74,"Other","camel","animal",6.109248,5,"correct",499.999950788907
"D",76,"Other","whale","animal",5.298317,5,"correct",623.000299795489
"D",77,"Other","mouse","animal",5.805135,5,"correct",551.999974455044
"D",78,"Other","kiwi","plant",3.044522,4,"correct",515.000051158178
"D",80,"Other","avocado","plant",3.433987,7,"correct",631.999750899235
"D",85,"Other","cherry","plant",4.997212,6,"correct",524.0001654158
"D",86,"Other","owl","animal",4.859812,3,"correct",549.999846975437
"D",87,"Other","reindeer","animal",4.043051,8,"correct",675.000208661075
"D",89,"Other","lion","animal",6.098074,4,"correct",525.999888099976
"D",90,"Other","tortoise","animal",4.624973,8,"incorrect",525.999888099976
"D",91,"Other","olive","plant",5.587249,5,"correct",614.000044117656
"D",92,"Other","mole","animal",4.60517,4,"correct",578.999723485302
"D",97,"Other","apricot","plant",3.828641,7,"correct",588.999891829225
"D",99,"Other","shark","animal",5.880533,5,"correct",660.000108886498
"D",100,"Other","elephant","animal",6.063785,8,"correct",541.999999219712
"D",101,"Other","radish","plant",3.044522,6,"correct",582.999891357673
"D",108,"Other","bat","animal",5.918894,3,"correct",538.000236633012
"D",109,"Other","goat","animal",6.228511,4,"incorrect",549.999846975437
"D",110,"Other","bunny","animal",3.332205,5,"correct",599.000240728894
"D",111,"Other","grape","plant",5.192957,5,"correct",476.000069385849
"D",115,"Other","lemon","plant",5.631212,5,"correct",573.000162322477
"D",117,"Other","hedgehog","animal",3.637586,8,"correct",734.999633078657
"D",118,"Other","apple","plant",6.304449,5,"correct",492.000139485804
"D",123,"Other","horse","animal",7.77191,5,"correct",542.999826275901
"D",126,"Other","strawberry","plant",4.75359,10,"correct",551.000105156754
"D",128,"Other","stork","animal",3.044522,5,"correct",730.999663922989
"D",129,"Other","melon","plant",4.127134,5,"correct",573.999772512614
"D",130,"Other","gull","animal",4.418841,4,"incorrect",606.000008441996
"D",132,"Other","moose","animal",2.70805,5,"correct",644.00017638882
"D",133,"Other","sheep","animal",6.577861,5,"correct",563.000209357393
"D",136,"Other","goose","animal",5.267858,5,"correct",1049.99953469096
"D",138,"Other","ant","animal",5.347108,3,"correct",627.99989545798
"D",139,"Other","asparagus","plant",3.663562,9,"correct",696.000236407284
"D",140,"Other","monkey","animal",5.783825,6,"correct",515.000051158178
"D",149,"Other","pineapple","plant",3.988984,9,"correct",873.000387752114
"D",150,"Other","wasp","animal",4.682131,4,"correct",599.000240728894
"D",152,"Other","mushroom","plant",5.537334,8,"correct",673.999925245109
"D",155,"Other","leek","plant",3.332205,4,"correct",701.000079188757
"D",157,"Other","dolphin","animal",4.007333,7,"correct",628.999838535443
"D",160,"Other","almond","plant",4.204693,6,"correct",611.000024946156
"D",164,"Other","clove","plant",3.663562,5,"correct",734.999633078657
"D",168,"Other","mustard","plant",4.442651,7,"correct",636.000277715743
"D",169,"Other","pear","plant",4.727388,4,"correct",531.999739670309
"D",172,"Other","chicken","animal",6.59987,7,"correct",1079.00003748647
"D",175,"Other","eagle","animal",5.117994,5,"correct",778.999964266688
"D",176,"Other","vulture","animal",4.248495,7,"correct",888.999790628164
"D",177,"Other","frog","animal",5.129899,4,"correct",847.000258629749
"D",180,"Other","potato","plant",6.461468,6,"correct",715.000326973859
"D",181,"Other","magpie","animal",2.995732,6,"correct",573.999772512614
"D",183,"Other","bee","animal",5.700444,3,"correct",738.000129444863
"D",184,"Other","crocodile","animal",4.615121,9,NA,NA
"D",185,"Other","eggplant","plant",1.791759,8,"correct",827.999872169015
"I",24,"Other","dolphin","animal",4.007333,7,"correct",489.999808358748
"I",32,"Other","vulture","animal",4.248495,7,"correct",710.999694409961
"I",34,"Other","pig","animal",6.660575,3,"correct",511.00020940595
"I",35,"Other","cherry","plant",4.997212,6,"correct",662.000293969766
"I",36,"Other","orange","plant",6.378426,6,"correct",442.000052121661
"I",40,"Other","shark","animal",5.880533,5,"correct",443.000101870017
"I",41,"Other","crocodile","animal",4.615121,9,"correct",541.999999219712
"I",42,"Other","reindeer","animal",4.043051,8,"correct",579.999939946533
"I",43,"Other","lion","animal",6.098074,4,"correct",430.999961165286
"I",44,"Other","donkey","animal",5.541264,6,"correct",447.000181207772
"I",45,"Other","gull","animal",4.418841,4,"correct",644.999795666759
"I",46,"Other","blueberry","plant",2.484907,9,"correct",522.999757294102
"I",48,"Other","snake","animal",6.120297,5,"correct",1255.99956413273
"I",50,"Other","grape","plant",5.192957,5,"correct",393.00015253541
"I",51,"Other","carrot","plant",4.976734,6,"correct",367.000055763977
"I",52,"Other","butterfly","animal",5.214936,9,"correct",524.999862139415
"I",54,"Other","apple","plant",6.304449,5,"correct",415.999891731329
"I",56,"Other","lettuce","plant",4.812184,7,"correct",620.999949119312
"I",57,"Other","asparagus","plant",3.663562,9,"correct",653.999770147033
"I",58,"Other","goat","animal",6.228511,4,"correct",489.999808358748
"I",59,"Other","clove","plant",3.663562,5,"correct",429.000034779882
"I",63,"Other","bunny","animal",3.332205,5,"correct",582.999891357673
"I",67,"Other","swan","animal",4.962845,4,"correct",535.000135410654
"I",69,"Other","eggplant","plant",1.791759,8,"correct",555.9998363967
"I",71,"Other","strawberry","plant",4.75359,10,"correct",561.00005300177
"I",73,"Other","mustard","plant",4.442651,7,"correct",596.000198429084
"I",74,"Other","magpie","animal",2.995732,6,"correct",582.999891357673
"I",76,"Other","beaver","animal",3.951244,6,"correct",592.000216148708
"I",77,"Other","broccoli","plant",2.833213,8,"correct",941.999741349101
"I",78,"Other","elephant","animal",6.063785,8,"correct",466.99987966864
"I",79,"Other","banana","plant",5.023881,6,"correct",442.000052121661
"I",85,"Other","sheep","animal",6.577861,5,"correct",476.999765846319
"I",86,"Other","melon","plant",4.127134,5,"correct",512.000191979808
"I",87,"Other","almond","plant",4.204693,6,"correct",558.999735506362
"I",88,"Other","potato","plant",6.461468,6,"correct",394.000035736616
"I",90,"Other","hedgehog","animal",3.637586,8,"correct",562.000084359752
"I",93,"Other","leek","plant",3.332205,4,"correct",608.999836964695
"I",96,"Other","whale","animal",5.298317,5,"correct",467.999861510562
"I",98,"Other","tomato","plant",5.545177,6,"correct",423.999806981694
"I",102,"Other","mouse","animal",5.805135,5,"correct",387.999868226192
"I",105,"Other","ant","animal",5.347108,3,"correct",560.000121111664
"I",109,"Other","goose","animal",5.267858,5,"correct",519.000060636907
"I",110,"Other","paprika","plant",2.484907,7,"correct",602.999881373519
"I",111,"Other","woodpecker","animal",2.890372,10,"correct",932.000172713045
"I",115,"Other","pineapple","plant",3.988984,9,"correct",470.999955718269
"I",121,"Other","bat","animal",5.918894,3,"correct",473.999847516558
"I",125,"Other","cat","animal",7.086738,3,"correct",478.000127869101
"I",127,"Other","bee","animal",5.700444,3,"correct",403.000176535525
"I",130,"Other","avocado","plant",3.433987,7,"correct",473.999847516558
"I",132,"Other","eagle","animal",5.117994,5,"correct",432.000177878581
"I",133,"Other","olive","plant",5.587249,5,"correct",407.999928843108
"I",134,"Other","beetroot","plant",3.555348,8,"correct",498.999952219994
"I",135,"Other","frog","animal",5.129899,4,"correct",517.000064879146
"I",137,"Other","mushroom","plant",5.537334,8,"correct",576.999846224847
"I",138,"Other","gherkin","plant",2.079442,7,"correct",623.000299795489
"I",140,"Other","spider","animal",4.844187,6,"correct",481.999945027614
"I",146,"Other","fox","animal",5.652489,3,"correct",614.999835299014
"I",149,"Other","monkey","animal",5.783825,6,"correct",717.000114290081
"I",151,"Other","squirrel","animal",4.70953,8,"correct",496.000036344437
"I",153,"Other","mole","animal",4.60517,4,"correct",584.000010028315
"I",155,"Other","dog","animal",7.667626,3,"correct",522.999757294102
"I",156,"Other","peanut","plant",4.59512,6,"correct",486.000182784394
"I",157,"Other","owl","animal",4.859812,3,"correct",450.000187756075
"I",158,"Other","wasp","animal",4.682131,4,"correct",786.000163150661
"I",159,"Other","squid","animal",3.970292,5,"correct",443.000101870017
"I",163,"Other","pear","plant",4.727388,4,"correct",395.999916343235
"I",164,"Other","chicken","animal",6.59987,7,"correct",470.999955718269
"I",165,"Other","radish","plant",3.044522,6,"correct",429.999910264338
"I",168,"Other","cucumber","plant",4.454347,8,"correct",524.999862139415
"I",169,"Other","apricot","plant",3.828641,7,"correct",433.000117774938
"I",170,"Other","camel","animal",6.109248,5,"correct",372.99984347289
"I",171,"Other","blackberry","plant",4.060443,10,"correct",601.000039344342
"I",173,"Other","lemon","plant",5.631212,5,"correct",401.999964375155
"I",174,"Other","tortoise","animal",4.624973,8,"correct",601.999731924149
"I",176,"Other","kiwi","plant",3.044522,4,"correct",382.000149512317
"I",178,"Other","horse","animal",7.77191,5,"correct",406.999924524871
"I",182,"Other","stork","animal",3.044522,5,"correct",767.00015235133
"I",183,"Other","walnut","plant",4.49981,6,"correct",515.000051158178
"I",184,"Other","moose","animal",2.70805,5,"correct",486.999940058783
"J",23,"Other","beaver","animal",3.951244,6,"correct",824.000387354687
"J",26,"Other","hedgehog","animal",3.637586,8,"incorrect",434.999986476423
"J",27,"Other","gull","animal",4.418841,4,"correct",677.99980477644
"J",30,"Other","carrot","plant",4.976734,6,"correct",568.999752982172
"J",32,"Other","clove","plant",3.663562,5,"correct",568.999752982172
"J",36,"Other","mouse","animal",5.805135,5,"correct",663.000006506774
"J",38,"Other","bunny","animal",3.332205,5,"correct",941.999741349101
"J",42,"Other","pig","animal",6.660575,3,"correct",524.0001654158
"J",43,"Other","ant","animal",5.347108,3,"correct",516.000121011528
"J",44,"Other","eggplant","plant",1.791759,8,"correct",545.000111908544
"J",47,"Other","gherkin","plant",2.079442,7,"incorrect",489.999808358748
"J",49,"Other","wasp","animal",4.682131,4,"correct",673.999925245109
"J",50,"Other","fox","animal",5.652489,3,"correct",467.999861510562
"J",52,"Other","lemon","plant",5.631212,5,"correct",483.000167285837
"J",56,"Other","owl","animal",4.859812,3,"correct",576.0001954392
"J",57,"Other","dog","animal",7.667626,3,"correct",456.999821361383
"J",61,"Other","shark","animal",5.880533,5,"correct",573.999772512614
"J",65,"Other","apricot","plant",3.828641,7,"correct",578.000075907371
